candidate,scope,n,model_accuracy,model_log_loss,model_brier,market_accuracy,market_log_loss,beat_closing_line_rate,beat_closing_line_n,regression,prior_strength,home_field_weight,composite
reg=0.7_prior=3.0_home=0.0_wt=core_heavy,weeks_1_6,814,0.5675675675675675,0.6838555108990859,0.2453704939064022,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.7,3.0,0.0,core_heavy
reg=0.7_prior=3.0_home=0.02_wt=live,overall,2333,0.6146592370338619,0.6772082523353656,0.24206507680420206,0.6691855583543241,0.6066100785516633,0.330188679245283,2332,0.7,3.0,0.02,live
reg=0.7_prior=3.0_home=0.02_wt=live,weeks_1_6,814,0.5982800982800983,0.6811240798995966,0.24401074611123888,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.7,3.0,0.02,live
reg=0.7_prior=3.0_home=0.02_wt=core_only,overall,2333,0.5657951135876553,0.6833205865654107,0.24510756437507464,0.6691855583543241,0.6066100785516633,0.32675814751286447,2332,0.7,3.0,0.02,core_only
reg=0.7_prior=3.0_home=0.02_wt=core_only,weeks_1_6,814,0.5491400491400491,0.6867007051623578,0.24678631439261872,0.6298076923076923,0.636911125040649,0.3628536285362854,813,0.7,3.0,0.02,core_only
reg=0.7_prior=3.0_home=0.02_wt=core_heavy,overall,2333,0.5915130732961852,0.6799467966343977,0.24342847053752256,0.6691855583543241,0.6066100785516633,0.3293310463121784,2332,0.7,3.0,0.02,core_heavy
reg=0.7_prior=3.0_home=0.02_wt=core_heavy,weeks_1_6,814,0.5712530712530712,0.6837096460308137,0.24529790058918352,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.7,3.0,0.02,core_heavy
reg=0.7_prior=3.0_home=0.05_wt=live,overall,2333,0.6082297471067295,0.6765070183699985,0.24171929109594997,0.6691855583543241,0.6066100785516633,0.33147512864493994,2332,0.7,3.0,0.05,live
reg=0.7_prior=3.0_home=0.05_wt=live,weeks_1_6,814,0.585995085995086,0.681107794965248,0.24400499592285474,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.7,3.0,0.05,live
reg=0.7_prior=3.0_home=0.05_wt=core_only,overall,2333,0.5756536648092585,0.6825437057123742,0.24472274881536407,0.6691855583543241,0.6066100785516633,0.3280445969125214,2332,0.7,3.0,0.05,core_only
reg=0.7_prior=3.0_home=0.05_wt=core_only,weeks_1_6,814,0.5515970515970516,0.6866279262270348,0.24675032905421782,0.6298076923076923,0.636911125040649,0.3628536285362854,813,0.7,3.0,0.05,core_only
reg=0.7_prior=3.0_home=0.05_wt=core_heavy,overall,2333,0.5936562366052294,0.6792156635675429,0.2430672124487834,0.6691855583543241,0.6066100785516633,0.3280445969125214,2332,0.7,3.0,0.05,core_heavy
