key_mlbam,name_first,name_last,team,opponent,dk_slot,DK_Points,Estimated_Salary
657656,Ramón,Laureano,SD,MIA,OF,3.2966708336876493,3500.0
687551,Drew,Gilbert,SF,LAA,OF,3.2932968188332947,3500.0
665966,Carlos,Narváez,BOS,TOR,C,3.2927581334201803,3500.0
694728,Brice,Matthews,HOU,CWS,OF,3.281150221743977,3500.0
691781,Brady,House,WSH,AZ,3B,3.278009866560944,3500.0
543309,Kyle,Higashioka,TEX,SEA,C,3.2774963468626472,3500.0
669699,Braden,Shewmake,MIL,COL,SS,3.268537934016474,3500.0
665877,José,Fermín,STL,CIN,OF,3.2627275721198523,3500.0
683011,Anthony,Volpe,NYY,PHI,SS,3.2622993484250093,3500.0
678662,Ezequiel,Tovar,COL,MIL,SS,3.2613080887568087,3500.0
681297,Colton,Cowser,BAL,ATL,OF,3.257284730961292,3400.0
656484,Tristan,Gray,MIN,ATH,SS,3.2559894123447326,3400.0
690976,Alex,Freeland,LAD,NYM,2B,3.2526791110522315,3400.0
683357,Owen,Caissie,MIA,SD,OF,3.2511838369817485,3400.0
694371,Tommy,Troy,AZ,WSH,OF,3.248736406515202,3400.0
677950,Alek,Thomas,AZ,WSH,OF,3.248736406515202,3400.0
686452,Drew,Millas,WSH,AZ,C,3.248736406515202,3400.0
691019,Kyle,Teel,CWS,HOU,C,3.2403438610189705,3400.0
800325,0,0,MIL,COL,OF,3.239029694785305,3400.0
666152,David,Hamilton,MIL,COL,3B,3.2364292534728434,3400.0
656976,Pavin,Smith,AZ,WSH,1B,3.2342998492929995,3400.0
596142,Gary,Sánchez,MIL,COL,C,3.233295771576618,3400.0
663698,Joey,Bart,ATL,BAL,C,3.22147838646983,3400.0
682663,Agustín,Ramírez,MIA,SD,C,3.214564081595612,3400.0
663494,Bryan,Torres,STL,CIN,OF,3.2055939659283736,3300.0
642350,José,Siri,LAA,SF,OF,3.198991903266864,3300.0
660821,Jesús,Sánchez,TOR,BOS,OF,3.196574020867979,3300.0
694377,Nick,Yorke,PIT,CHC,3B,3.195039784042145,3300.0
807713,Matt,Shaw,CHC,PIT,OF,3.195039784042145,3300.0
668942,Josh,Rojas,KC,DET,3B,3.1907357814100394,3300.0
685133,Wade,Meckler,LAA,SF,OF,3.18712396705667,3300.0
622268,Donovan,Walton,ATH,MIN,3B,3.1815468953239314,3300.0
682997,Tyler,Callihan,PIT,CHC,OF,3.177592676323354,3300.0
664728,Kyle,Isbel,KC,DET,OF,3.168571655034672,3300.0
643376,Danny,Jansen,TEX,SEA,C,3.163488964883174,3200.0
668670,Jake,Rogers,DET,KC,C,3.1536710966064168,3200.0
676439,Hunter,Feduccia,TB,CLE,C,3.150676436595695,3200.0
666397,Edouard,Julien,COL,MIL,2B,3.1478228176515204,3200.0
669392,Samad,Taylor,SD,MIA,OF,3.1204537692637584,3200.0
665923,Esteury,Ruiz,MIA,SD,OF,3.119683483788459,3100.0
679822,Justin,Foscue,TEX,SEA,2B,3.107543594184097,3100.0
694388,Joey,Loperfido,HOU,CWS,OF,3.0822375632692425,3100.0
621043,Carlos,Correa,HOU,CWS,SS,3.0822375632692425,3100.0
673490,Ha-Seong,Kim,ATL,BAL,SS,3.075216797993842,3100.0
624641,Edmundo,Sosa,PHI,NYY,OF,3.0708537474057,3000.0
665561,Rafael,Marchán,PHI,NYY,C,3.0708537474057,3000.0
677870,Leo,Jimenez,MIA,SD,3B,3.068685690788268,3000.0
592206,Nick,Castellanos,SD,MIA,OF,3.068051879416396,3000.0
660710,Rodolfo,Durán,SD,MIA,C,3.068051879416396,3000.0
669134,Luis,Campusano,SD,MIA,C,3.068051879416396,3000.0
695336,Thomas,Saggese,STL,CIN,OF,3.068051879416396,3000.0
664774,LaMonte,Wade,HOU,CWS,OF,3.06780100604704,3000.0
668952,Ryan,Kreidler,MIN,ATH,SS,3.0676236557215533,3000.0
691011,Drew,Romo,CWS,HOU,C,3.0676236557215533,3000.0
670242,Matt,Wallner,MIN,ATH,OF,3.0676236557215533,3000.0
691777,Max,Muncy,ATH,MIN,3B,3.0676236557215533,3000.0
808975,Hyeseong,Kim,LAD,NYM,SS,3.0676236557215533,3000.0
677592,Everson,Pereira,CWS,HOU,OF,3.0676236557215533,3000.0
595879,Javier,Báez,DET,KC,SS,3.053437971868707,3000.0
606992,Eric,Haase,SF,LAA,C,3.053437971868707,3000.0
641598,Mitch,Garver,SEA,TEX,C,3.053437971868707,3000.0
664056,Harrison,Bader,SF,LAA,OF,3.053437971868707,3000.0
624428,Adam,Frazier,LAA,SF,2B,3.053437971868707,3000.0
680977,Brendan,Donovan,SEA,TEX,3B,3.053437971868707,3000.0
640902,Jhonny,Pereda,SEA,TEX,C,3.053437971868707,3000.0
701350,Roman,Anthony,BOS,TOR,OF,3.053437971868707,3000.0
660844,Leo,Rivas,SEA,TEX,3B,3.053437971868707,3000.0
672761,Wenceel,Pérez,DET,KC,OF,3.053437971868707,3000.0
