key_mlbam,name,metric,age,value,n_comparables,n_with_next_season,projected_value_mean,projected_value_p25,projected_value_p75
677944,Slade Cecconi,K9,27,7.363636363636363,25.0,19.0,6.574065136012399,5.9522956326987675,7.239155844155844
677944,Slade Cecconi,BB9,27,2.9805194805194803,25.0,20.0,3.1330362700798515,2.5994396835860254,3.314873949579832
677944,Slade Cecconi,HR9,27,1.4025974025974026,,,1.0721964000264157,1.0721964000264157,1.0721964000264157
677944,Slade Cecconi,FIP,27,4.570779220779221,25.0,16.0,4.279824958632647,4.084149143240053,4.564203988231449
677952,Braxton Ashcraft,K9,26,10.134048257372655,25.0,14.0,9.422708490464442,8.825905476199448,9.877336488085177
677952,Braxton Ashcraft,BB9,26,2.2439678284182305,25.0,20.0,2.5862826286847462,2.3112460295122834,2.850029928172386
677952,Braxton Ashcraft,HR9,26,1.2305630026809653,,,1.0206914112502317,1.0206914112502317,1.0206914112502317
677952,Braxton Ashcraft,FIP,26,3.542359249329759,25.0,18.0,3.9987693713906682,3.41491935483871,4.176399295838223
677958,Kumar Rocker,K9,26,8.3421926910299,25.0,18.0,7.7345434080233355,6.795,8.54968287526427
677958,Kumar Rocker,BB9,26,3.408637873754153,25.0,17.0,3.5459198829647427,2.823529411764706,4.2086330935251794
677958,Kumar Rocker,HR9,26,1.1661129568106312,,,0.9650494131691595,0.9650494131691595,0.9650494131691595
677958,Kumar Rocker,FIP,26,4.156478405315615,25.0,17.0,4.797006345129178,4.286046511627907,5.5
677960,Ryan Weathers,K9,26,10.094955489614243,25.0,15.0,9.724464156636406,9.102151533106206,9.869427074531012
677960,Ryan Weathers,BB9,26,2.6439169139465877,25.0,22.0,2.5848752729948514,2.0831745958763292,3.249617499402343
677960,Ryan Weathers,HR9,26,1.3620178041543027,,,1.02180889164107,1.02180889164107,1.02180889164107
677960,Ryan Weathers,FIP,26,3.785459940652819,25.0,22.0,4.219015674081053,3.8682766479663395,4.64427667701122
678022,Jack Perkins,K9,26,11.022935779816512,25.0,19.0,10.0169940505901,9.185691990011525,10.755560016057808
678022,Jack Perkins,BB9,26,3.4678899082568804,25.0,19.0,3.5025103049976924,3.1857234314980793,3.7355113636363635
